,token,oc_list
0,ministério,"[(1, 2), (2, 4), (5, 7), (16, 1), (17, 2), (44, 2), (45, 3), (54, 1), (65, 2), (83, 5), (98, 2), (102, 1), (109, 2), (111, 2), (120, 4), (124, 2), (125, 1), (136, 1), (137, 1), (142, 2)]"
1,público,"[(1, 3), (2, 4), (5, 1), (9, 1), (18, 2), (45, 1), (46, 1), (60, 1), (65, 1), (67, 1), (70, 1), (71, 1), (83, 2), (89, 3), (94, 1), (98, 1), (102, 1), (108, 1), (111, 1), (119, 1), (120, 5), (124, 2), (125, 1), (129, 1), (134, 1), (136, 1), (137, 1), (142, 1)]"
2,estado,"[(1, 1), (2, 3), (10, 2), (16, 6), (17, 1), (18, 1), (35, 1), (37, 1), (43, 1), (44, 1), (50, 1), (64, 1), (65, 1), (71, 1), (75, 3), (82, 1), (83, 1), (89, 1), (91, 1), (93, 1), (99, 6), (109, 1), (112, 1), (118, 4), (120, 1), (124, 1), (126, 3), (129, 1), (134, 2), (141, 1), (142, 1)]"
3,paulo,"[(1, 2), (5, 3), (18, 1), (27, 2), (29, 1), (37, 1), (39, 1), (51, 2), (52, 1), (63, 1), (65, 1), (69, 1), (75, 1), (78, 1), (85, 1), (86, 1), (89, 2), (94, 9), (105, 1), (107, 1), (108, 8), (115, 1), (117, 1), (122, 2), (123, 1), (124, 1), (132, 1), (141, 1), (142, 1)]"
4,requereu,"[(1, 1)]"
5,junto,"[(1, 1), (2, 1), (9, 1), (29, 1), (37, 1), (45, 1), (50, 1), (65, 1), (75, 2), (118, 1), (141, 3)]"
6,justiça,"[(1, 4), (2, 2), (6, 1), (16, 3), (18, 1), (29, 1), (39, 1), (44, 1), (45, 5), (46, 3), (54, 1), (64, 1), (65, 1), (75, 1), (78, 1), (83, 5), (89, 5), (102, 1), (108, 2), (117, 1), (118, 2), (120, 1), (122, 1), (137, 2), (141, 6)]"
7,processo,"[(1, 4), (2, 3), (5, 1), (6, 1), (10, 1), (15, 1), (18, 1), (37, 1), (45, 1), (65, 3), (69, 1), (70, 1), (83, 1), (89, 4), (91, 1), (98, 1), (107, 1), (117, 1), (120, 4), (129, 1), (136, 2), (141, 1)]"
8,penal,"[(1, 2), (5, 1), (83, 1), (89, 3), (98, 1)]"
9,corre,"[(1, 1), (118, 1)]"
10,vara,"[(1, 1), (5, 1), (69, 1), (120, 1), (141, 1)]"
11,juizado,"[(1, 2), (124, 1)]"
12,especial,"[(1, 1), (10, 3), (91, 2), (98, 2), (136, 1)]"
13,embu,"[(1, 1)]"
14,artes,"[(1, 1), (50, 1)]"
15,sp,"[(1, 1), (98, 1), (117, 1)]"
16,youtuber,"[(1, 4), (85, 1)]"
17,nando,"[(1, 9), (129, 1)]"
18,moura,"[(1, 12)]"
19,condenado,"[(1, 1), (18, 1), (98, 4), (111, 1), (118, 2), (120, 1), (123, 1)]"
20,injúria,"[(1, 2)]"
21,difamação,"[(1, 2)]"
22,estudante,"[(1, 9), (10, 1), (56, 1), (132, 1)]"
23,interior,"[(1, 1), (2, 1), (16, 2), (18, 1), (51, 1), (91, 1), (98, 1), (109, 2), (123, 1)]"
24,chamou,"[(1, 1), (9, 1), (48, 1), (56, 1), (85, 1), (101, 1)]"
25,vagabunda,"[(1, 5), (118, 1)]"
26,três,"[(1, 3), (5, 1), (17, 1), (46, 1), (51, 1), (56, 4), (70, 1), (73, 1), (75, 1), (83, 1), (86, 2), (89, 2), (91, 2), (98, 3), (105, 2), (108, 1), (126, 1), (139, 1)]"
27,vezes,"[(1, 4), (4, 1), (5, 3), (10, 1), (16, 1), (43, 1), (50, 2), (56, 1), (61, 2), (65, 1), (70, 1), (75, 3), (94, 1), (99, 2), (108, 2), (109, 1), (111, 1), (118, 3), (119, 3), (121, 1), (132, 1)]"
28,vídeo,"[(1, 6), (10, 1), (29, 1), (37, 3), (64, 3), (66, 1), (70, 2), (75, 1), (107, 2), (109, 1)]"
29,publicado,"[(1, 2), (4, 1), (37, 1), (46, 1), (70, 2), (91, 1), (105, 1)]"
30,internet,"[(1, 1), (16, 1), (39, 1), (50, 2), (67, 1), (69, 1), (99, 1), (106, 1), (109, 1), (141, 1)]"
31,visto,"[(1, 1), (5, 1), (48, 2), (75, 1), (94, 1), (108, 1), (118, 1)]"
